序号,交易日期,客户ID,交易金额,交易次数,成员类型,省份
1,2017/3/1,205,10771.34,105,自助成员,广西
2,2017/3/1,213,1416.05,5,线上成员,内蒙
3,2017/3/1,261,2015.64,13,线上成员,广西
4,2017/3/1,447,1430.97,16,线下成员,西藏
5,2017/3/1,451,524.31,48,自助成员,西藏
6,2017/3/1,536,542,1,线上成员,广西
7,2017/3/1,726,9209.2,85,线上成员,广西
8,2017/3/1,887,2439.86,14,线下成员,甘肃
9,2017/3/1,1096,1514.78,14,自助成员,上海
10,2017/3/1,1189,2577.84,1,线下成员,上海
11,2017/3/1,1338,4413.29,44,线下成员,甘肃
12,2017/3/1,1400,1026.68,21,线上成员,江苏
13,2017/3/1,1914,5028.44,37,线下成员,上海
14,2017/3/1,2428,1906.03,10,自助成员,上海
15,2017/3/1,2566,1976.41,24,线上成员,上海
16,2017/3/1,2721,1987.65,12,线下成员,青海
17,2017/3/1,2947,2433.18,9,线下成员,甘肃
18,2017/3/1,3252,406.15,1,自助成员,西藏
19,2017/3/1,3294,750.05,2,自助成员,宁夏
20,2017/3/1,3356,12083.12,44,线下成员,广西
21,2017/3/1,3622,2310.77,34,线上成员,江苏
22,2017/3/1,3870,2484.97,13,自助成员,甘肃
23,2017/3/1,4045,80.17,1,线上成员,青海
24,2017/3/1,4060,77177.73,130,线上成员,青海
25,2017/3/1,4764,1699.67,13,线下成员,宁夏
26,2017/3/1,4871,3463.96,43,自助成员,江苏
27,2017/3/1,5099,1701.62,21,线上成员,广西
28,2017/3/1,5206,225,1,线下成员,青海
29,2017/3/1,5211,80919,81,线上成员,内蒙
30,2017/3/1,5263,141.44,2,线下成员,西藏
31,2017/3/1,5278,11084.7,29,线下成员,广州
32,2017/3/1,5321,53318.33,90,自助成员,西藏
33,2017/3/1,5412,351.68,8,线上成员,宁夏
34,2017/3/1,5504,111301,67,线下成员,内蒙
35,2017/3/1,5769,13,1,线下成员,广西
36,2017/3/1,5935,2491.33,23,线下成员,广州
37,2017/3/1,6078,124.5,3,自助成员,广州
38,2017/3/1,6194,111.4,1,线下成员,广西
39,2017/3/1,6439,3975.05,7,线上成员,宁夏
40,2017/3/1,6477,3411.77,29,线上成员,青海
41,2017/3/1,6712,2413.95,23,线上成员,甘肃
42,2017/3/1,6810,1881.5,31,自助成员,青海
43,2017/3/1,6931,3244.75,29,线上成员,广西
44,2017/3/1,7603,5678.76,41,线下成员,江苏
45,2017/3/1,7963,58.5,1,线上成员,广西
46,2017/3/1,8239,171.15,5,线下成员,甘肃
47,2017/3/1,8267,3305,4,线下成员,宁夏
48,2017/3/1,9066,722.55,1,线上成员,西藏
49,2017/3/1,9663,266.24,1,线下成员,江苏
50,2017/3/1,9757,1239,3,线下成员,西藏
51,2017/3/1,10476,372.65,2,自助成员,广州
52,2017/3/1,10643,2948.19,38,线上成员,广西
53,2017/3/1,10954,1823.94,7,线上成员,广州
54,2017/3/1,11166,2968.6,5,线上成员,广西
55,2017/3/1,11590,1047.2,1,自助成员,广西
56,2017/3/1,12216,6177.38,52,线上成员,西藏
57,2017/3/1,13662,79230,39,自助成员,内蒙
58,2017/3/1,14042,2.32,1,自助成员,江苏
59,2017/3/1,14713,2165.14,23,线下成员,内蒙
60,2017/3/1,1001-1463,449.49,9,线下成员,内蒙
61,2017/3/1,100700,78378.62,40,线下成员,甘肃
62,2017/3/1,100729,4283.22,12,线上成员,上海
63,2017/3/1,100762,5227.73,22,自助成员,甘肃
64,2017/3/1,1010-707,388.07,1,线下成员,宁夏
65,2017/3/1,1010-712,2796.89,15,线上成员,宁夏
66,2017/3/1,1011-121,4024.86,47,线上成员,广西
67,2017/3/1,1011-136,4228.77,46,自助成员,甘肃
68,2017/3/1,101108-3215,61,1,自助成员,广西
69,2017/3/1,1301-1636,6083.61,12,线下成员,上海
70,2017/3/1,1301-272,1028.64,3,自助成员,甘肃
71,2017/3/1,1301-47,192.96,1,线上成员,江苏
72,2017/3/1,1301-831,4065.97,49,线下成员,西藏
73,2017/3/1,1301-842,478.64,8,线下成员,上海
74,2017/3/1,1301-862,2421.8,14,线下成员,江苏
75,2017/3/1,1301-863,165964.18,95,线上成员,西藏
76,2017/3/1,1301-864,4259.76,26,线上成员,宁夏
77,2017/3/1,1301-868,900,1,线上成员,内蒙
78,2017/3/1,1301-869,794.35,8,线下成员,江苏
79,2017/3/1,1301-878,116145.85,54,线上成员,西藏
80,2017/3/1,1301-899,150.5,4,线上成员,广西
81,2017/3/1,1301-914,1506.77,3,线上成员,内蒙
82,2017/3/1,1303-837,2300,2,线下成员,广西
83,2017/3/1,1303-849,29.01,1,自助成员,江苏
84,2017/3/1,130304-847,582.62,2,线上成员,内蒙
85,2017/3/1,1304-848,480,2,线上成员,广西
86,2017/3/1,1305-843,508,1,自助成员,宁夏
87,2017/3/1,1306-839,6379.86,12,线下成员,上海
88,2017/3/1,1306-841,3384.37,18,自助成员,青海
89,2017/3/1,1308-851,2387,1,自助成员,广州
90,2017/3/1,1310-296,1630.3,2,线下成员,广西
91,2017/3/1,1401-112,2832.2,7,自助成员,广西
92,2017/3/1,1401-1263,97920,90,自助成员,广州
93,2017/3/1,1401-8,12,1,线上成员,上海
94,2017/3/1,1403-906,253.2,1,自助成员,上海
95,2017/3/1,1405-1644,4358.61,5,线上成员,青海
96,2017/3/1,140504-1645,1930,5,线下成员,内蒙
97,2017/3/1,1501-1337,2702.68,44,自助成员,江苏
98,2017/3/1,1501-1366,501.5,2,线上成员,江苏
99,2017/3/1,1601-1800,1195.38,3,线下成员,青海
100,2017/3/1,1601-1811,2450.73,11,自助成员,宁夏
101,2017/3/1,1601-1812,1015.13,2,自助成员,宁夏
102,2017/3/1,1601-1966,1331.81,5,线下成员,甘肃
103,2017/3/1,1601-2956,39.21,2,线上成员,内蒙
104,2017/3/1,1601-3185,200,1,自助成员,广西
105,2017/3/1,1601-49,1573.22,8,线下成员,西藏
106,2017/3/1,1601-932,1911.83,9,线上成员,内蒙
107,2017/3/1,1601-942,550,1,自助成员,西藏
108,2017/3/1,1601-9631,3167.81,6,自助成员,青海
109,2017/3/1,1601-998,1117.04,6,自助成员,广西
110,2017/3/1,1602-12,1442.17,6,线上成员,上海
111,2017/3/1,1602-121,70921.61,23,自助成员,上海
112,2017/3/1,1602-140,1757.53,11,线上成员,江苏
113,2017/3/1,1602-1653,331.09,2,线上成员,上海
114,2017/3/1,1602-1676,69333.56,35,自助成员,宁夏
115,2017/3/1,1602-1682,5421.3,48,线下成员,宁夏
116,2017/3/1,1602-1685,2024.84,16,线下成员,内蒙
117,2017/3/1,1602-1696,2327.6,1,线上成员,内蒙
118,2017/3/1,1602-1698,2100.19,13,自助成员,青海
119,2017/3/1,1602-1809,257.52,2,线上成员,甘肃
120,2017/3/1,1602-3402,484.24,1,自助成员,江苏
121,2017/3/1,160203-145,4684.58,21,线上成员,江苏
122,2017/3/1,1603-20,879.5,8,线上成员,宁夏
123,2017/3/1,1604-70,4886.94,41,线上成员,上海
124,2017/3/1,160507-3399,819.14,8,自助成员,宁夏
125,2017/3/1,1608-1742,207.4,2,自助成员,上海
126,2017/3/1,1609-26,2468.85,37,线上成员,西藏
127,2017/3/1,1611-992,2064.26,11,线下成员,广州
128,2017/3/1,1612-168,4781.98,33,自助成员,上海
129,2017/3/1,1612-5,1055.14,15,线下成员,宁夏
130,2017/3/1,1701-11,3247.59,8,自助成员,青海
131,2017/3/1,1701-195,5034.2,48,线下成员,青海
132,2017/3/1,1701-2160,3449.66,18,线上成员,江苏
133,2017/3/1,1701-2165,5844.9,39,线下成员,广西
134,2017/3/1,1701-2172,162.21,2,线下成员,西藏
135,2017/3/1,1701-2179,723.73,4,自助成员,广州
136,2017/3/1,1701-2188,1597.61,10,线下成员,内蒙
137,2017/3/1,1701-2212,340.75,3,线上成员,广西
138,2017/3/1,1701-2258,104.1,1,自助成员,广西
139,2017/3/1,1702-14,388.5,2,自助成员,宁夏
140,2017/3/1,1702-212,58678.9,70,自助成员,宁夏
141,2017/3/1,1702-2250,788.13,2,线上成员,宁夏
142,2017/3/1,1702-2313,20,1,线下成员,上海
143,2017/3/1,1702-2317,102797.05,105,线上成员,上海
